sample_name,species,AMC (disk),AMK (disk),AMK (mic),AMK (vitek),AMP (vitek),AMX (disk),AMX (vitek),ATM (disk),ATM (vitek),CAZ (disk),CAZ (mic),CAZ (vitek),CHL (vitek),CIP (disk),CIP (vitek),COL (mic),CRO (mic),CRO (vitek),CTX (disk),CTX (mic),CTX (vitek),CXM (vitek),CZA (disk),CZA (vitek),CZT (disk),CZT (vitek),ETP (disk),ETP (mic),ETP (vitek),FEP (disk),FEP (mic),FEP (vitek),FOS (disk),FOX (disk),FOX (vitek),GEN (disk),GEN (mic),GEN (vitek),IPM (disk),IPM (mic),IPM (vitek),LVX (disk),LVX (vitek),MEC (disk),MEM (disk),MEM (mic),MEM (vitek),NAL (vitek),NET (disk),OFX (vitek),PIP (vitek),PRL (disk),SXT (disk),SXT (vitek),TCC (disk),TCC (vitek),TGC (disk),TGC (vitek),TIC (disk),TIC (vitek),TOB (disk),TOB (vitek),TZP (disk),TZP (mic),TZP (vitek),AMC (disk) cat,AMK (disk) cat,AMK (mic) cat,AMK (vitek) cat,AMP (vitek) cat,AMX (disk) cat,AMX (vitek) cat,ATM (disk) cat,ATM (vitek) cat,CAZ (disk) cat,CAZ (mic) cat,CAZ (vitek) cat,CHL (vitek) cat,CIP (disk) cat,CIP (vitek) cat,COL (mic) cat,CRO (mic) cat,CRO (vitek) cat,CTX (disk) cat,CTX (mic) cat,CTX (vitek) cat,CXM (vitek) cat,CZA (disk) cat,CZA (vitek) cat,CZT (disk) cat,CZT (vitek) cat,ETP (disk) cat,ETP (mic) cat,ETP (vitek) cat,FEP (disk) cat,FEP (mic) cat,FEP (vitek) cat,FOS (disk) cat,FOX (disk) cat,FOX (vitek) cat,GEN (disk) cat,GEN (mic) cat,GEN (vitek) cat,IPM (disk) cat,IPM (mic) cat,IPM (vitek) cat,LVX (disk) cat,LVX (vitek) cat,MEC (disk) cat,MEM (disk) cat,MEM (mic) cat,MEM (vitek) cat,NAL (vitek) cat,NET (disk) cat,OFX (vitek) cat,PIP (vitek) cat,PRL (disk) cat,SXT (disk) cat,SXT (vitek) cat,TCC (disk) cat,TCC (vitek) cat,TGC (disk) cat,TGC (vitek) cat,TIC (disk) cat,TIC (vitek) cat,TOB (disk) cat,TOB (vitek) cat,TZP (disk) cat,TZP (mic) cat,TZP (vitek) cat
CITFRE64,Citrobacter freundii,6.0,27.0,1.0,2.0,,6.0,16.0,25.0,16.0,9.0,32.0,32.0,16.0,6.0,2.0,1.0,16.0,32.0,6.0,16.0,32.0,,29.0,0.5,19.0,8.0,17.0,4.0,4.0,30.0,1.0,0.5,32.0,6.0,32.0,6.0,16.0,8.0,25.0,1.0,1.0,6.0,4.0,18.0,23.0,1.0,2.0,16.0,6.0,4.0,64.0,6.0,6.0,160.0,6.0,64.0,17.0,,6.0,64.0,6.0,8.0,6.0,64.0,64.0,R,S,S,S,NA,R,R,U,R,R,R,R,R,R,R,S,R,R,R,R,R,NA,S,S,R,R,R,R,R,S,S,S,S,R,R,R,R,R,S,S,S,R,R,S,S,S,S,R,R,R,R,R,R,R,R,R,R,NA,R,R,R,R,R,R,R
COLI116,Escherichia coli,,,1.0,2.0,16.0,,,,,,16.0,16.0,,,2.0,0.5,2.0,,,2.0,32.0,,,,,,,32.0,,,32.0,16.0,,,32.0,,0.5,1.0,,0.5,4.0,,,,,0.5,,16.0,,4.0,,,,160.0,,,,,,64.0,,1.0,,8.0,64.0,NA,NA,S,S,R,NA,NA,NA,NA,NA,R,R,NA,NA,R,S,R,NA,NA,R,R,NA,NA,NA,NA,NA,NA,R,NA,NA,R,R,NA,NA,R,NA,S,S,NA,S,R,NA,NA,NA,NA,S,NA,R,NA,R,NA,NA,NA,R,NA,NA,NA,NA,NA,R,NA,S,NA,R,R
COLI117,Escherichia coli,,,8.0,2.0,16.0,,,,4.0,,16.0,1.0,32.0,,0.25,0.5,2.0,32.0,,2.0,16.0,32.0,,0.12,,0.25,,0.06,0.5,,16.0,16.0,,,4.0,,1.0,1.0,,0.25,0.25,,0.12,,,0.06,0.25,2.0,,0.25,64.0,,,20.0,,,,0.5,,64.0,,1.0,,8.0,4.0,NA,NA,R,S,R,NA,NA,NA,R,NA,R,S,R,NA,S,S,R,R,NA,R,R,R,NA,S,NA,S,NA,S,R,NA,R,R,NA,NA,S,NA,S,S,NA,S,S,NA,S,NA,NA,S,S,S,NA,S,R,NA,NA,R,NA,NA,NA,R,NA,R,NA,S,NA,R,S
KLEPNE67,Klebsiella pneumoniae,6.0,6.0,64.0,32.0,16.0,6.0,16.0,12.0,32.0,6.0,32.0,32.0,16.0,6.0,2.0,1.0,16.0,32.0,6.0,16.0,32.0,32.0,6.0,8.0,6.0,16.0,6.0,8.0,,6.0,32.0,16.0,11.0,6.0,32.0,6.0,16.0,8.0,6.0,16.0,8.0,6.0,4.0,17.0,6.0,32.0,,16.0,6.0,4.0,64.0,6.0,6.0,160.0,6.0,64.0,19.0,,6.0,64.0,6.0,8.0,6.0,64.0,64.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,R,R,R,R,R,R,R,R,NA,R,R,R,R,R,R,R,R,R,R,R,R,R,R,S,R,R,NA,R,R,R,R,R,R,R,R,R,S,NA,R,R,R,R,R,R,R
CITFRE54,Citrobacter freundii,6.0,20.0,4.0,8.0,,6.0,16.0,6.0,32.0,6.0,32.0,32.0,16.0,6.0,2.0,0.5,16.0,32.0,6.0,16.0,32.0,,23.0,0.12,6.0,,17.0,2.0,4.0,6.0,32.0,8.0,31.0,6.0,32.0,6.0,16.0,8.0,24.0,0.5,1.0,6.0,4.0,6.0,23.0,0.5,1.0,16.0,6.0,4.0,64.0,6.0,6.0,160.0,6.0,64.0,21.0,,6.0,64.0,6.0,4.0,6.0,64.0,,R,S,S,R,NA,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,R,NA,S,S,R,NA,R,R,R,R,R,R,S,R,R,R,R,R,S,S,S,R,R,R,S,S,S,R,R,R,R,R,R,R,R,R,S,NA,R,R,R,R,R,R,NA
COLI118,Escherichia coli,,,2.0,2.0,16.0,,,,2.0,,2.0,1.0,4.0,,2.0,0.25,2.0,32.0,,2.0,32.0,32.0,,0.12,,0.25,,0.06,0.5,,4.0,8.0,,,4.0,,0.12,1.0,,0.12,0.25,,4.0,,,0.06,0.25,16.0,,4.0,64.0,,,20.0,,16.0,,0.5,,64.0,,1.0,,2.0,4.0,NA,NA,S,S,R,NA,NA,NA,U,NA,U,S,S,NA,R,S,R,R,NA,R,R,R,NA,S,NA,S,NA,S,R,NA,R,R,NA,NA,S,NA,S,S,NA,S,S,NA,R,NA,NA,S,S,R,NA,R,R,NA,NA,R,NA,S,NA,R,NA,R,NA,S,NA,S,S
COLI119,Escherichia coli,,,2.0,2.0,16.0,,,,2.0,,1.0,1.0,4.0,,0.25,0.5,2.0,32.0,,16.0,16.0,32.0,,0.12,,0.25,,0.06,0.5,,2.0,2.0,,,4.0,,0.5,1.0,,0.25,0.25,,0.12,,,0.06,0.25,2.0,,0.25,64.0,,,20.0,,16.0,,0.5,,64.0,,1.0,,2.0,4.0,NA,NA,S,S,R,NA,NA,NA,U,NA,S,S,S,NA,S,S,R,R,NA,R,R,R,NA,S,NA,S,NA,S,R,NA,U,U,NA,NA,S,NA,S,S,NA,S,S,NA,S,NA,NA,S,S,S,NA,S,R,NA,NA,R,NA,S,NA,R,NA,R,NA,S,NA,S,S
KLEPNE63,Klebsiella pneumoniae,6.0,23.0,2.0,2.0,16.0,6.0,16.0,37.0,1.0,6.0,32.0,32.0,32.0,29.0,0.25,1.0,16.0,32.0,6.0,16.0,32.0,32.0,6.0,8.0,6.0,16.0,6.0,8.0,,8.0,32.0,16.0,20.0,6.0,32.0,6.0,16.0,8.0,10.0,16.0,8.0,29.0,0.12,10.0,6.0,32.0,,2.0,10.0,0.25,64.0,6.0,6.0,160.0,6.0,64.0,23.0,,6.0,64.0,11.0,8.0,6.0,64.0,64.0,R,S,S,S,R,R,R,S,S,R,R,R,R,S,S,S,R,R,R,R,R,R,R,R,R,R,R,R,NA,R,R,R,R,R,R,R,R,R,R,R,R,S,S,R,R,R,NA,S,R,S,R,R,R,R,R,R,S,NA,R,R,R,R,R,R,R
ENTHOR40,Enterobacter hormaechei steigerwaltii,6.0,12.0,16.0,16.0,,6.0,16.0,6.0,32.0,6.0,32.0,32.0,32.0,6.0,2.0,1.0,16.0,32.0,6.0,16.0,32.0,,18.0,2.0,6.0,16.0,11.0,8.0,4.0,6.0,32.0,16.0,24.0,6.0,32.0,6.0,16.0,8.0,23.0,2.0,2.0,6.0,4.0,17.0,19.0,4.0,2.0,16.0,6.0,4.0,64.0,6.0,6.0,160.0,6.0,64.0,20.0,,6.0,64.0,6.0,8.0,6.0,64.0,64.0,R,R,R,R,NA,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,R,NA,S,S,R,R,R,R,R,R,R,R,R,R,R,R,R,R,S,S,S,R,R,S,U,U,S,R,R,R,R,R,R,R,R,R,S,NA,R,R,R,R,R,R,R
KLEPNE36,Klebsiella pneumoniae,6.0,19.0,4.0,2.0,16.0,6.0,16.0,9.0,32.0,6.0,32.0,32.0,16.0,6.0,2.0,0.5,16.0,32.0,6.0,16.0,32.0,32.0,24.0,0.5,12.0,16.0,6.0,8.0,,6.0,32.0,16.0,16.0,9.0,32.0,6.0,16.0,8.0,20.0,4.0,2.0,6.0,4.0,18.0,6.0,32.0,,16.0,6.0,4.0,64.0,6.0,6.0,160.0,6.0,64.0,21.0,,6.0,64.0,6.0,8.0,6.0,64.0,64.0,R,S,S,S,R,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,R,R,S,S,R,R,R,R,NA,R,R,R,R,R,R,R,R,R,U,R,S,R,R,S,R,R,NA,R,R,R,R,R,R,R,R,R,S,NA,R,R,R,R,R,R,R
ENTHOR38,Enterobacter hormaechei steigerwaltii,15.0,12.0,32.0,16.0,,6.0,16.0,19.0,32.0,6.0,32.0,32.0,32.0,21.0,2.0,1.0,16.0,32.0,6.0,16.0,32.0,,6.0,8.0,6.0,16.0,11.0,8.0,,6.0,32.0,16.0,32.0,6.0,32.0,19.0,1.0,2.0,14.0,16.0,8.0,15.0,4.0,18.0,9.0,16.0,,16.0,6.0,4.0,64.0,6.0,6.0,160.0,6.0,64.0,24.0,,6.0,64.0,9.0,8.0,6.0,64.0,64.0,S,R,R,R,NA,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,R,NA,R,R,R,R,R,R,NA,R,R,R,S,R,R,S,S,R,R,R,R,R,R,S,R,R,NA,R,R,R,R,R,R,R,R,R,S,NA,R,R,R,R,R,R,R
PRTMIR13,Proteus mirabilis,14.0,28.0,2.0,2.0,16.0,6.0,16.0,40.0,1.0,38.0,0.06,1.0,4.0,40.0,0.25,8.0,0.06,0.25,40.0,0.25,1.0,1.0,40.0,0.12,36.0,0.25,34.0,0.06,0.5,40.0,0.06,0.12,40.0,28.0,4.0,26.0,0.5,1.0,32.0,1.0,4.0,38.0,0.12,36.0,40.0,0.12,0.5,4.0,26.0,0.25,4.0,25.0,32.0,20.0,18.0,64.0,20.0,,10.0,64.0,29.0,1.0,26.0,1.0,4.0,R,S,S,S,R,R,R,S,S,S,S,S,S,S,S,R,S,S,S,S,S,U,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,U,S,S,S,S,S,R,S,R,S,NA,R,R,S,S,S,S,S
COLI120,Escherichia coli,,,1.0,2.0,16.0,,,,1.0,,0.5,1.0,4.0,,2.0,0.5,2.0,32.0,,8.0,16.0,32.0,,0.12,,0.25,,0.06,0.5,,2.0,4.0,,,4.0,,2.0,8.0,,0.25,0.25,,4.0,,,0.06,0.25,16.0,,4.0,64.0,,,160.0,,16.0,,0.5,,64.0,,8.0,,2.0,4.0,NA,NA,S,S,R,NA,NA,NA,S,NA,S,S,S,NA,R,S,R,R,NA,R,R,R,NA,S,NA,S,NA,S,R,NA,U,R,NA,NA,S,NA,R,R,NA,S,S,NA,R,NA,NA,S,S,R,NA,R,R,NA,NA,R,NA,S,NA,R,NA,R,NA,R,NA,S,S
KLEPNE51,Klebsiella pneumoniae,9.0,11.0,16.0,16.0,16.0,6.0,16.0,6.0,32.0,6.0,32.0,32.0,32.0,6.0,2.0,0.5,16.0,32.0,6.0,16.0,32.0,32.0,6.0,8.0,6.0,16.0,10.0,8.0,4.0,6.0,32.0,16.0,18.0,6.0,32.0,19.0,1.0,1.0,16.0,16.0,8.0,6.0,4.0,17.0,13.0,16.0,8.0,16.0,6.0,4.0,64.0,6.0,6.0,160.0,6.0,64.0,22.0,,6.0,64.0,8.0,8.0,6.0,64.0,64.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,S,S,S,R,R,R,R,R,S,R,R,R,R,R,R,R,R,R,R,R,R,S,NA,R,R,R,R,R,R,R
KLEPNE68,Klebsiella pneumoniae,6.0,6.0,64.0,32.0,16.0,6.0,16.0,6.0,32.0,6.0,32.0,32.0,32.0,6.0,2.0,1.0,16.0,32.0,6.0,16.0,32.0,32.0,6.0,8.0,6.0,16.0,6.0,8.0,,6.0,32.0,16.0,6.0,6.0,32.0,6.0,16.0,8.0,6.0,16.0,8.0,6.0,4.0,6.0,6.0,32.0,,16.0,6.0,4.0,64.0,6.0,6.0,160.0,6.0,64.0,6.0,,6.0,64.0,6.0,8.0,6.0,64.0,64.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,R,R,R,R,R,R,R,R,NA,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,NA,R,R,R,R,R,R,R,R,R,R,NA,R,R,R,R,R,R,R
CITKOS9,Citrobacter koseri,6.0,28.0,1.0,2.0,,6.0,16.0,45.0,1.0,32.0,0.25,1.0,2.0,44.0,0.25,1.0,0.5,1.0,24.0,1.0,4.0,,35.0,0.12,33.0,0.25,28.0,1.0,4.0,37.0,0.5,0.12,39.0,29.0,4.0,26.0,0.25,1.0,29.0,1.0,8.0,35.0,0.12,35.0,32.0,0.5,4.0,2.0,25.0,0.25,64.0,6.0,33.0,20.0,6.0,64.0,33.0,0.5,6.0,64.0,26.0,1.0,6.0,64.0,64.0,R,S,S,S,NA,R,R,S,S,S,S,S,S,S,S,S,S,S,S,S,R,NA,S,S,S,S,S,R,R,S,S,S,S,S,S,S,S,S,S,S,R,S,S,S,S,S,U,S,S,S,R,R,S,R,R,R,S,R,R,R,S,S,R,R,R
KLEPNE37,Klebsiella pneumoniae,6.0,22.0,2.0,2.0,16.0,6.0,16.0,9.0,32.0,6.0,32.0,32.0,32.0,6.0,2.0,0.5,16.0,32.0,6.0,16.0,32.0,32.0,26.0,0.5,17.0,16.0,15.0,4.0,4.0,17.0,16.0,16.0,19.0,24.0,4.0,6.0,16.0,8.0,26.0,1.0,2.0,6.0,4.0,26.0,25.0,1.0,1.0,16.0,9.0,4.0,64.0,6.0,6.0,160.0,6.0,64.0,21.0,,6.0,64.0,6.0,8.0,6.0,64.0,64.0,R,S,S,S,R,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,R,R,S,S,R,R,R,R,R,R,R,R,R,S,S,R,R,R,S,S,S,R,R,S,S,S,S,R,R,R,R,R,R,R,R,R,S,NA,R,R,R,R,R,R,R
CITFRE65,Citrobacter freundii,6.0,21.0,4.0,8.0,,6.0,16.0,6.0,32.0,6.0,32.0,32.0,32.0,6.0,2.0,1.0,16.0,32.0,6.0,16.0,32.0,,6.0,8.0,6.0,16.0,6.0,8.0,4.0,6.0,32.0,16.0,35.0,6.0,32.0,6.0,16.0,8.0,18.0,4.0,8.0,6.0,4.0,6.0,13.0,4.0,8.0,16.0,6.0,4.0,64.0,6.0,6.0,160.0,6.0,64.0,20.0,,6.0,64.0,6.0,8.0,6.0,64.0,64.0,R,S,S,R,NA,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,R,NA,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,R,R,R,R,R,R,R,R,U,R,R,R,R,R,R,R,R,R,R,S,NA,R,R,R,R,R,R,R
KLEPNE52,Klebsiella pneumoniae,16.0,26.0,1.0,2.0,16.0,6.0,16.0,35.0,1.0,6.0,32.0,32.0,32.0,28.0,0.25,1.0,16.0,32.0,6.0,16.0,32.0,32.0,6.0,8.0,6.0,16.0,10.0,8.0,,17.0,32.0,4.0,17.0,6.0,32.0,24.0,0.25,1.0,24.0,2.0,8.0,24.0,1.0,27.0,18.0,8.0,,16.0,24.0,2.0,64.0,6.0,24.0,20.0,10.0,64.0,16.0,,6.0,64.0,25.0,1.0,6.0,64.0,64.0,S,S,S,S,R,R,R,S,S,R,R,R,R,S,S,S,R,R,R,R,R,R,R,R,R,R,R,R,NA,R,R,R,R,R,R,S,S,S,S,S,R,S,R,S,U,R,NA,R,S,R,R,R,S,R,R,R,R,NA,R,R,S,S,R,R,R
ENTROG1,Enterobacter roggenkampii,6.0,25.0,1.0,2.0,,6.0,16.0,35.0,1.0,6.0,32.0,32.0,4.0,35.0,0.25,0.5,16.0,32.0,6.0,16.0,32.0,,6.0,8.0,6.0,16.0,10.0,8.0,,16.0,16.0,16.0,30.0,6.0,32.0,26.0,0.25,1.0,18.0,8.0,8.0,35.0,0.25,21.0,13.0,8.0,,4.0,24.0,,64.0,6.0,32.0,20.0,6.0,64.0,27.0,,6.0,64.0,24.0,1.0,6.0,64.0,64.0,R,S,S,S,NA,R,R,S,S,R,R,R,S,S,S,S,R,R,R,R,R,NA,R,R,R,R,R,R,NA,R,R,R,S,R,R,S,S,S,R,R,R,S,S,S,R,R,NA,U,S,NA,R,R,S,R,R,R,S,NA,R,R,S,S,R,R,R
KLEOXY8,Klebsiella oxytoca,6.0,12.0,16.0,16.0,16.0,6.0,16.0,6.0,32.0,6.0,32.0,32.0,2.0,9.0,2.0,0.5,16.0,32.0,6.0,16.0,32.0,32.0,6.0,8.0,6.0,16.0,6.0,8.0,,8.0,32.0,16.0,20.0,6.0,32.0,19.0,1.0,4.0,6.0,16.0,8.0,6.0,4.0,6.0,6.0,32.0,,16.0,6.0,4.0,64.0,6.0,6.0,160.0,6.0,64.0,25.0,,6.0,64.0,6.0,8.0,6.0,64.0,64.0,R,R,R,R,R,R,R,R,R,R,R,R,S,R,R,S,R,R,R,R,R,R,R,R,R,R,R,R,NA,R,R,R,R,R,R,S,S,R,R,R,R,R,R,R,R,R,NA,R,R,R,R,R,R,R,R,R,S,NA,R,R,R,R,R,R,R
KLEPNE69,Klebsiella pneumoniae,6.0,20.0,4.0,8.0,16.0,6.0,16.0,6.0,32.0,6.0,32.0,32.0,16.0,6.0,2.0,1.0,16.0,32.0,6.0,16.0,32.0,32.0,6.0,8.0,6.0,16.0,6.0,8.0,,6.0,32.0,16.0,19.0,6.0,32.0,6.0,16.0,8.0,16.0,16.0,8.0,6.0,4.0,8.0,10.0,32.0,,16.0,6.0,4.0,64.0,6.0,17.0,20.0,6.0,64.0,25.0,,6.0,64.0,6.0,8.0,6.0,64.0,64.0,R,S,S,R,R,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,R,R,R,R,R,R,R,R,NA,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,NA,R,R,R,R,R,S,R,R,R,S,NA,R,R,R,R,R,R,R
KLEPNE65,Klebsiella pneumoniae,6.0,6.0,64.0,32.0,16.0,6.0,16.0,6.0,32.0,6.0,32.0,32.0,32.0,6.0,2.0,0.5,16.0,32.0,6.0,16.0,32.0,32.0,6.0,8.0,6.0,16.0,6.0,8.0,,6.0,32.0,16.0,16.0,6.0,32.0,6.0,16.0,8.0,6.0,16.0,8.0,6.0,4.0,6.0,6.0,32.0,,16.0,6.0,4.0,64.0,6.0,6.0,160.0,6.0,64.0,20.0,,6.0,64.0,6.0,8.0,6.0,64.0,64.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,R,R,R,R,R,R,R,R,NA,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,NA,R,R,R,R,R,R,R,R,R,S,NA,R,R,R,R,R,R,R
SERMAR8,Serratia marcescens,6.0,22.0,2.0,2.0,,6.0,16.0,28.0,1.0,25.0,0.5,1.0,,35.0,0.25,8.0,4.0,1.0,6.0,4.0,1.0,,29.0,4.0,25.0,1.0,12.0,2.0,4.0,,0.5,0.12,20.0,13.0,32.0,20.0,0.5,1.0,16.0,8.0,,35.0,0.12,6.0,23.0,1.0,,2.0,15.0,0.25,64.0,6.0,25.0,20.0,6.0,,22.0,,6.0,64.0,16.0,2.0,6.0,64.0,64.0,R,S,S,S,NA,R,R,S,S,S,S,S,NA,S,S,R,R,S,R,R,S,NA,S,S,S,S,R,R,R,NA,S,S,R,R,R,S,S,S,R,R,NA,S,S,R,S,S,NA,S,S,S,R,R,S,R,R,NA,S,NA,R,R,R,R,R,R,R
KLEPNE64,Klebsiella pneumoniae,6.0,6.0,64.0,32.0,16.0,6.0,16.0,6.0,32.0,6.0,32.0,32.0,32.0,6.0,2.0,0.5,16.0,32.0,6.0,16.0,32.0,32.0,6.0,8.0,6.0,16.0,6.0,8.0,,6.0,32.0,16.0,6.0,6.0,32.0,6.0,16.0,8.0,6.0,16.0,8.0,6.0,4.0,6.0,6.0,32.0,,16.0,6.0,4.0,64.0,6.0,6.0,160.0,6.0,64.0,21.0,,6.0,64.0,6.0,8.0,6.0,64.0,64.0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,R,R,R,R,R,R,R,R,NA,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,NA,R,R,R,R,R,R,R,R,R,S,NA,R,R,R,R,R,R,R
COLI121,Escherichia coli,,,2.0,2.0,16.0,,,,32.0,,16.0,16.0,32.0,,2.0,0.5,2.0,32.0,,2.0,32.0,32.0,,0.5,,16.0,,8.0,4.0,,4.0,16.0,,,32.0,,1.0,1.0,,2.0,0.25,,4.0,,,2.0,2.0,16.0,,4.0,64.0,,,20.0,,64.0,,0.5,,64.0,,1.0,,8.0,64.0,NA,NA,S,S,R,NA,NA,NA,R,NA,R,R,R,NA,R,S,R,R,NA,R,R,R,NA,S,NA,R,NA,R,R,NA,R,R,NA,NA,R,NA,S,S,NA,S,S,NA,R,NA,NA,S,S,R,NA,R,R,NA,NA,R,NA,R,NA,R,NA,R,NA,S,NA,R,R
CITCRO1,Citrobacter cronae,6.0,8.0,32.0,32.0,,6.0,16.0,6.0,32.0,6.0,32.0,32.0,16.0,6.0,2.0,1.0,16.0,32.0,6.0,16.0,32.0,,6.0,8.0,6.0,16.0,6.0,8.0,,6.0,32.0,16.0,27.0,6.0,32.0,6.0,16.0,8.0,11.0,8.0,8.0,6.0,4.0,14.0,7.0,8.0,,16.0,6.0,4.0,64.0,6.0,27.0,20.0,6.0,64.0,21.0,,6.0,64.0,6.0,8.0,6.0,64.0,64.0,R,R,R,R,NA,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,R,NA,R,R,R,R,R,R,NA,R,R,R,S,R,R,R,R,R,R,R,R,R,R,R,R,R,NA,R,R,R,R,R,S,R,R,R,S,NA,R,R,R,R,R,R,R
COLI122,Escherichia coli,,,2.0,2.0,16.0,,,,16.0,,2.0,4.0,4.0,,0.25,2.0,2.0,32.0,,2.0,32.0,32.0,,0.12,,0.25,,0.06,0.5,,4.0,8.0,,,8.0,,0.5,1.0,,0.22,0.25,,0.12,,,0.06,0.25,2.0,,0.25,64.0,,,160.0,,,,0.5,,64.0,,1.0,,2.0,4.0,NA,NA,S,S,R,NA,NA,NA,R,NA,U,R,S,NA,S,R,R,R,NA,R,R,R,NA,S,NA,S,NA,S,R,NA,R,R,NA,NA,R,NA,S,S,NA,S,S,NA,S,NA,NA,S,S,S,NA,S,R,NA,NA,R,NA,NA,NA,R,NA,R,NA,S,NA,S,S
KLEMIC2,Klebsiella michiganensis,6.0,24.0,1.0,2.0,16.0,6.0,16.0,42.0,1.0,6.0,32.0,32.0,2.0,26.0,,0.5,16.0,32.0,6.0,16.0,32.0,32.0,6.0,8.0,6.0,16.0,12.0,8.0,,12.0,32.0,16.0,21.0,6.0,32.0,18.0,1.0,4.0,8.0,16.0,8.0,22.0,,6.0,6.0,32.0,,16.0,17.0,,64.0,6.0,6.0,160.0,6.0,64.0,27.0,,6.0,64.0,16.0,8.0,6.0,64.0,64.0,R,S,S,S,R,R,R,S,S,R,R,R,S,S,NA,S,R,R,R,R,R,R,R,R,R,R,R,R,NA,R,R,R,R,R,R,S,S,R,R,R,R,U,NA,R,R,R,NA,R,S,NA,R,R,R,R,R,R,S,NA,R,R,R,R,R,R,R
COLI123,Escherichia coli,,,1.0,2.0,16.0,,,,32.0,,16.0,16.0,4.0,,2.0,0.5,2.0,32.0,,2.0,32.0,32.0,,0.12,,0.25,,0.06,0.5,,16.0,16.0,,,4.0,,0.5,1.0,,0.12,0.25,,4.0,,,0.06,0.25,16.0,,4.0,64.0,,,160.0,,16.0,,0.5,,64.0,,1.0,,2.0,4.0,NA,NA,S,S,R,NA,NA,NA,R,NA,R,R,S,NA,R,S,R,R,NA,R,R,R,NA,S,NA,S,NA,S,R,NA,R,R,NA,NA,S,NA,S,S,NA,S,S,NA,R,NA,NA,S,S,R,NA,R,R,NA,NA,R,NA,S,NA,R,NA,R,NA,S,NA,S,S
COLI124,Escherichia coli,,,2.0,2.0,16.0,,,,16.0,,4.0,4.0,4.0,,2.0,0.5,2.0,32.0,,2.0,32.0,32.0,,0.12,,0.25,,0.06,0.5,,4.0,16.0,,,4.0,,0.5,1.0,,0.25,0.25,,4.0,,,0.06,0.25,16.0,,4.0,64.0,,,160.0,,32.0,,0.5,,64.0,,1.0,,2.0,4.0,NA,NA,S,S,R,NA,NA,NA,R,NA,R,R,S,NA,R,S,R,R,NA,R,R,R,NA,S,NA,S,NA,S,R,NA,R,R,NA,NA,S,NA,S,S,NA,S,S,NA,R,NA,NA,S,S,R,NA,R,R,NA,NA,R,NA,R,NA,R,NA,R,NA,S,NA,S,S
COLI125,Escherichia coli,,,2.0,2.0,16.0,,,,16.0,,8.0,4.0,2.0,,2.0,2.0,2.0,32.0,,2.0,32.0,32.0,,0.12,,0.25,,0.06,0.5,,4.0,2.0,,,4.0,,1.0,1.0,,0.12,0.25,,4.0,,,0.06,0.25,16.0,,4.0,64.0,,,20.0,,8.0,,0.5,,64.0,,1.0,,2.0,4.0,NA,NA,S,S,R,NA,NA,NA,R,NA,R,R,S,NA,R,R,R,R,NA,R,R,R,NA,S,NA,S,NA,S,R,NA,R,U,NA,NA,S,NA,S,S,NA,S,S,NA,R,NA,NA,S,S,R,NA,R,R,NA,NA,R,NA,S,NA,R,NA,R,NA,S,NA,S,S
CITFRE66,Citrobacter freundii,6.0,23.0,2.0,2.0,,6.0,16.0,35.0,1.0,6.0,32.0,32.0,2.0,24.0,1.0,1.0,16.0,32.0,6.0,16.0,32.0,,6.0,8.0,6.0,16.0,21.0,1.0,,19.0,8.0,2.0,35.0,6.0,32.0,6.0,16.0,8.0,21.0,4.0,8.0,26.0,1.0,23.0,21.0,1.0,,16.0,11.0,2.0,64.0,6.0,6.0,160.0,6.0,64.0,23.0,,6.0,64.0,11.0,8.0,6.0,64.0,64.0,R,S,S,S,NA,R,R,S,S,R,R,R,S,U,R,S,R,R,R,R,R,NA,R,R,R,R,R,R,NA,R,R,U,S,R,R,R,R,R,U,R,R,S,R,S,U,S,NA,R,R,R,R,R,R,R,R,R,S,NA,R,R,R,R,R,R,R
